Name,Lyrics
Mombasa,"Stranded naked on the sandbar
Echoed from the stars
Neon
Sea snake cemetery roaming under dusk

Doberman visions
You're undressing
Mute and bleary

Hillside castles baking down to sand
Hillside castles baking down to sand

Shamed red Chopin
Plays awful sounds from the dresser
Nurse's hands carving in slate
Hummingbird gestures

Sleeping in nectar
Teething on freedom
Sleeping in nectar
Teething on freedom

The hospital bed filled with your apathy
In a haze of heat, a father hums his tragic song
Before the cold sees its ceremony
Oh, in your icy eyes
The daybreak glance given

Travel now
Where they can't let you down
Where you can't fail them now
Travel now
Where they can't let you down
Where you can't fail them now

Travel now
Where they can't let you down
Where you can't fail them now
Travel now
Where they can't let you down
Where you can't fail them now"
Moment (feat. Wiz Khalifa),"This feel like my chance
This feel like my moment
Everyone needs a fan
Everyone needs a close up
Let me see your hands up high, if you know one
Let me see your hands up high, if you know one
Nobody's a no one

I'm gleaming
I'm the me I see when I be dreaming
I remember thinking that I'd never see it
I remember thinking that I'd never be it
Now I pay my mom's lease with an appearance fee
'Cause they screaming my name I must be hearing things
But nah, it's all, it's all for you
Your life, your dreams, they all for you

This feel like my chance
This feel like my moment
Everyone needs a fan
Everyone needs a close up
Let me see your hands up high, if you know one
Let me see your hands up high, if you know one
This feel like my chance
This feel like my moment
Everyone needs a fan
Everyone needs a close up
Let me see your hands up high, if you know one
Let me see your hands up high, if you know one
Nobody's a no one

I just wanna roll one
They gon' talk about you bad until they see you glow up
Put me in your building, need a half a mil to show up
I don't see the dealer, need a pound and I'ma grow one
Hop in the coupe and I'm swerving lanes
No new friends, I'm curvin' lames
My niggas solid, stay the same
I see the top, that's my favorite place
Going to work, don't got time to waste
Takin' my time, I ain't trying to race
I'ma stay all on my grind
Stackin' my G's to the sky
Rollin' that weed with my guys

This feel like my chance
This feel like my moment
Everyone needs a fan
Everyone needs a close up
Let me see your hands up high, if you know one
Let me see your hands up high, if you know one
Nobody's a no one

Nobody's a no one
I don't sound like no one
Did this on my own, huh
I feel just like Goku or Gohan, I go on
I threw up on Wiz, nigga
I still made it big nigga
You can't tell me shit nigga

This feel like my chance
This feel like my moment
Everyone needs a fan
Everyone needs a close up
Let me see your hands up high, if you know one
Let me see your hands up high, if you know one
Nobody's a no one"
Let's Make Love,"I was born with greed and Evil, sin
It's in my flesh
I trust only me
I'm too blind to see
Pretending to care

It's the light at the end of the tunnel
It's the promise of heaven owner
I'm so lost in the current
In the tide and the waves and the torrent

Let's make love
Let time pass us by
Let's make love
I'll hurt, I'll be fine

If she loves then she wants freedom and free
We learn, we stand
We rise and we fall

It's the light at the end of the tunnel
It's the promise of heaven owner
I'm so lost in the current
In the tides and the waves and the torrent

Let's make love
Let time pass us by
Let's make love
I'll hurt, I'll be fine

Take me away from this place
Lets me be brave and to stay
I wanna be free, free, free
Help me to see what's free to feel"
Heaven Is a Place on Earth,"Ooh, baby, do you know what that's worth?
Ooh heaven is a place on earth
They say in heaven love comes first
We'll make heaven a place on earth
Ooh heaven is a place on earth

When the night falls down
I wait for you
And you come around
And the world's alive
With the sound of kids
On the street outside

When you walk into the room
You pull me close and we start to move
And we're spinning with the stars above
And you lift me up in a wave of love...

Ooh, baby, do you know what that's worth?
Ooh heaven is a place on earth
They say in heaven love comes first
We'll make heaven a place on earth
Ooh heaven is a place on earth

When I feel alone
I reach for you
And you bring me home
When I'm lost at sea
I hear your voice
And it carries me

In this world we're just beginning
To understand the miracle of living
Baby I was afraid before
But I'm not afraid anymore

Ooh, baby, do you know what that's worth?
Ooh heaven is a place on earth
They say in heaven love comes first
We'll make heaven a place on earth
Ooh heaven is a place on earth

In this world we're just beginning
To understand the miracle of living
Baby I was afraid before
But I'm not afraid anymore

Ooh, baby, do you know what that's worth?
Ooh heaven is a place on earth
They say in heaven love comes first
We'll make heaven a place on earth
Ooh heaven is a place on earth"
Mind Over Matter,"Mind over matter
Does it matter to any of us?
Don't change the subject
I'm heavy on your love
I missed that train, New York city - it rains!
Fly to east L.A. in big jet planes
You know you're on my mind

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall

Mind over matter,
I'm in tatters thinkin' about her
Taste my disaster
It's heavy on my tongue
All the lights aglow
Tokyo - snows
Go to watch the show
Curtain's closed!
I'm watching you this time

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall
I missed that train
New York city - it rains!
Fly to east L.A. in big jet planes
You know you're on my mind
All the lights aglow
Tokyo - sno-ooows
Go to watch the show - curtain's closed
I'm watching you this time

Mind over matter
Mind over matter,
You know you're on my mind!

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
I missed that train, will you stand by me!
(Fly to east L.A.)
'Cause I'm a young man built to fall
And if the world don't break!
All the lights aglow
(Tokyo - sno-ooows
Go to watch the show - curtain's closed)
And when the seasons change, will you stand by me?
'Cause I'm a young man built to fall
"
Song the 3,"If you take a step towards me
You will take my breath away
So I'll keep you close and keep my secret safe

No one else has ever loved me
No one else has ever tried
I never understood how much I could take

Then I saw the worst was over
When I laid my eyes on you
It was all that I could do to know my place

Out of all the vast illusions
Out of all the dreams come true
I was gone until I finally saw your face

If you cried out for more
If you reached out for me
I would run into the storm
Just to keep you here with me
I have gone beyond my years
I've wasted half my life
But I found it all in you
Did I save you?
'Cause I know you saved me too

Let me take a step towards you
Let me feel you in my hands
Let me cross this line and show you where it leads

There's a darkness down inside me
That I know we'll both enjoy
And it's screaming from within to set it free

I have left this bloody nightmare
In my wake but out of sight
All I want is deviation by design

Out of all the past confusion
Out of all the common spite
Just tell me I am yours 'cause you are mine

And if you cried out for more
If you reached out for me
I would run into the storm
Just to keep you here with me
I have gone beyond my years
I've wasted half my life
But I found it all in you
Did I save you?
'Cause I know you saved me too

It doesn't really matter what you do or say
I'm never going anywhere anyway
'Cause when I'm dying for you
I've never felt so alive

If you cried out for more
If you reached out for me
I would run into the storm
Just to keep you here with me
I have gone beyond my years
I've wasted half my life
But I found it all in you
Did I save you?
'Cause I know you saved me too

I know you saved me too"
A Warrior's Call,"Let's get ready to rumble!

Feel the fire, he's entering the ring,
His mindset only knows how to win,
This Danish fighter will break you in two,
You will feel all his power!

The Viking warrior Mikkel Kessler will now brand his name in the back of your head, yeah
You feel the floor again,
Unleashing his hell
You will not even hear the bell
Maybe you're strong but you don't stand a chance

Feel the power of a warrior!
Fight, fight, fight, fight!
Let's get ready to rumble!
Fight, fight, fight, fight!

Breaking your record and breaking your bones,
Born a warrior with a code,
A champion feeding your face with a fist,
You will feel all his power!

The Viking warrior Mikkel Kessler will now brand his name in the back of your head, yeah
You feel the floor again,
Unleashing his hell
You will not even hear the bell
Maybe you're strong but you don't stand a chance

Feel the power of a warrior!
Fight, fight, fight, fight!
Let's get ready to rumble!
Fight, fight, fight, fight!
A gladiator's left hand hook
Fight, fight, fight, fight!
Feel the pain tomorrow!

Behold here comes the son,
Believe it, he was born to be the chosen one,
The call is for a warrior,
His name will echo on the sea and on the ground

Feel the fire, he's entering the ring,
His mindset only knows how to win,
This Danish fighter will break you in two,
You will feel all his power!

The Viking warrior Mikkel Kessler will now brand his name in the back of your head, yeah
You feel the floor again,
Unleashing his hell
You will not even hear the bell
Maybe you're strong, but you don't stand a chance

Feel the power of a warrior!
Fight, fight, fight, fight!
Let's get ready to rumble!
Fight, fight, fight, fight!
A gladiator's left hand hook
Fight, fight, fight, fight!
Feel the pain tomorrow!

Behold here comes the son,
Believe it, he was born to be the chosen one,
The call is for a warrior,
His name will echo on the sea and on the ground
"
Grenade,"Easy come, easy go
That's just how you live, oh
Take, take, take it all
But you never give
Should've known you was trouble
From the first kiss
Had your eyes wide open
Why were they open?

Gave you all I had
And you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked
'Cause what you don't understand is...

I'd catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

No, no, no, no

Black, black, black and blue
Beat me 'til I'm numb
Tell the devil I said 'Hey' when you get back to where you're from
Mad woman, bad woman
That's just what you are
Yeah, you'll smile in my face then rip the brakes out my car

Gave you all I had
And you tossed it in the trash
You tossed it in the trash, yes you did
To give me all your love is all I ever asked
'Cause what you don't understand is...

I'd catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

If my body was on fire
Oh, you'd watch me burn down in flames
You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

But, darling, I'd still catch a grenade for you (yeah, yeah, yeah)
Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same

No, you won't do the same
You wouldn't do the same
Oh, you'd never do the same
Oh, no no no, oh"
melee,"Grrat, head crack
One Umbrella forever, nigga
We'll never stop, nigga
They'll never stop us, yeah

My wrist on melee (Melee)
My bitch on bae day (Bae day)
Shit dumpin' out the AK (Brrt, brrt)
I'ma take it on vacay (Vacay)
Fuck it up in the spot (Spot)
Give a fuck nigga melee (Ah)
We get money a lot (Lot)
Can't believe niggas hate it (Nah)
Yeah, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Say that)
You don't want us to get it, don't want us to win it
Well, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Grrt)
Yeah, fuck nigga, say that (Head crack)
We get money a lot (Uh)
It been like this since way back (Yeah, yeah), yeah

I took the drop to the block and my niggas they like, 'You done did it again' (Again)
I put the wop in convertible drop in the spot that I hid in the Benz (Yeah)
Clapping the heat from the passenger seat and I had to get rid of the Benz
I did it and did it again
I seen an opp, clock shots, it's litty again
I pull up in back streets
Whipping the Wraith like a Banshee
Can't fuck with these niggas, they shady
I knew he was fake when he dapped me
Took an L and put niggas in debt
You was gettin' fronted, nigga, running off
And I had to go put up a check (Check)
Only way I could get my respect (Yeah)
See, I did it all for the set (Set)
And I did it all for the check (Check)
And I never sold my soul (Grrt)
I could start a war with the flex (Grrt)

My wrist on melee (Melee)
My bitch on bae day (Bae day)
Shit dumpin' out the AK (Brrt, brrt)
I'ma take it on vacay (Vacay)
Fuck it up in the spot (Spot)
Give a fuck nigga melee (Ah)
We get money a lot (Lot)
Can't believe niggas hate it (Nah)
Yeah, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Say that)
You don't want us to get it, don't want us to win it
Well, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Grrt)
Yeah, fuck nigga, say that (Head crack)
We get money a lot (Uh)
It been like this since way back (Yeah, yeah), yeah

I'm going way back (Way back)
You don't fuck with me, say that (Say that)
Nigga, fuck you, take that (Grrat)
I'ma run in the spot (Head crack)
Pulling up in a Maybach
Know the fuck niggas hate that
Tell a nigga this payback (Payback)
I'ma set this shit clear, my nigga (Yeah)
Put my bitch on a Lear, my nigga (Yeah, yeah)
Like a thotty, you're nautical, baby (Ah)
Let me know that you're proud of me, baby (Yeah)
I be whipping the cook in the kitchen (Yeah)
And these niggas done doubted me, baby (Woo)
I be doing the jugging and pitching (Ah)
My young niggas so rowdy and crazy (Yeah), yeah

We the realest niggas of all time
One Umbrellas forever, baby (Ah)
Grrat, head crack

My wrist on melee (Melee)
My bitch on bae day (Bae day)
Shit dumpin' out the AK (Brrt, brrt)
I'ma take it on vacay (Vacay)
Fuck it up in the spot (Spot)
Give a fuck nigga melee (Ah)
We get money a lot (Lot)
Can't believe niggas hate it (Nah)
Yeah, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Say that)
You don't want us to get it, don't want us to win it
Well, fuck nigga, say that (Say that)
Yeah, fuck nigga, say that (Grrt)
Yeah, fuck nigga, say that (Head crack)
We get money a lot (Uh)
It been like this since way back (Yeah, yeah), yeah
"
You're Somebody Else,"I saw the part of you
That only when you're older you will see too
You will see too
I held the better cards
But every stroke of luck has got a bleed through
It's got a bleed through
You held the balance of the time
That only blindly I could read you
But I could read you
It's like you told me
Go forward slowly
It's not a race to the end

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

You were the better part
Of every bit of beating heart that I had
Whatever I had
I finally sat alone
Pitch black flesh and bone
Couldn't believe that you were gone

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Where are we?
Where are we?

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

Well you look like yourself
But you're somebody else
Only it ain't on the surface
Well you talk like yourself
No, I hear someone else though
Now you're making me nervous

I saw the part of you that only when you're older
You will see too, you will see too
"
